group,category,2020_01_01,2020_02_01,2020_03_01,2020_04_01,2020_05_01,2020_06_01,2020_07_01,2020_08_01,2020_09_01,2020_10_01,2020_11_01,2020_12_01,2021_01_01,2021_02_01,2021_03_01,2021_04_01,2021_05_01,2021_06_01,2021_07_01,2021_08_01,2021_09_01,2021_10_01,2021_11_01,2021_12_01,2022_01_01,2022_02_01,2022_03_01,2022_04_01,2022_05_01,2022_06_01,2022_07_01,2022_08_01,2022_09_01,2022_10_01,2022_11_01,2022_12_01,2023_01_01,2023_02_01,2023_03_01,2023_04_01,2023_05_01,2023_06_01,2023_07_01,2023_08_01,2023_09_01,2023_10_01,2023_11_01,2023_12_01,2024_01_01,2024_02_01,2024_03_01,2024_04_01,2024_05_01,2024_06_01,2024_07_01,2024_08_01,2024_09_01,2024_10_01,2024_11_01,2024_12_01,2025_01_01,2025_02_01,2025_03_01,2025_04_01,2025_05_01,2025_06_01,job_code
3d882ff,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,3,8,8,8,1,,,,,,,,,,,,,104
3d882ff,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,,,,,,,,,,,,,104
3d882ff,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,3,5,6,,,,,,,,,,,,,104
4c,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102
4c,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,102
4c,1,,,,,,,,,,,,,,,,,,1,1,9,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,1,,,1,1,1,1,1,103
4c,0,,,,,,,,,,,,,,,,,,,,,,,,8,8,7,7,7,7,7,7,7,7,7,7,9,9,8,8,8,8,8,8,8,8,8,8,11,11,11,11,11,10,10,11,11,11,11,11,15,14,13,13,13,13,13,103
4c,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,2,3,4,4,5,5,5,5,5,5,5,,,,,,,1,1,1,1,1,2,1,1,1,1,1,1,1,103
4c,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,104
4c,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,2,2,2,3,5,5,5,5,5,105
