group,phy_comp_type_code_id,2020_01_01,2020_02_01,2020_03_01,2020_04_01,2020_05_01,2020_06_01,2020_07_01,2020_08_01,2020_09_01,2020_10_01,2020_11_01,2020_12_01,2021_01_01,2021_02_01,2021_03_01,2021_04_01,2021_05_01,2021_06_01,2021_07_01,2021_08_01,2021_09_01,2021_10_01,2021_11_01,2021_12_01,2022_01_01,2022_02_01,2022_03_01,2022_04_01,2022_05_01,2022_06_01,2022_07_01,2022_08_01,2022_09_01,2022_10_01,2022_11_01,2022_12_01,2023_01_01,2023_02_01,2023_03_01,2023_04_01,2023_05_01,2023_06_01,2023_07_01,2023_08_01,2023_09_01,2023_10_01,2023_11_01,2023_12_01,2024_01_01,2024_02_01,2024_03_01,2024_04_01,2024_05_01,2024_06_01,2024_07_01,2024_08_01,2024_09_01,2024_10_01,2024_11_01,2024_12_01,2025_01_01,2025_02_01,2025_03_01,2025_04_01,2025_05_01,2025_06_01
ac675bd5ecfb4ee6,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,
ac675bd5ecfb4ee6,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,6,6,6,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1
ac675bd5ecfb4ee6,203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,41,41,41,40,39,41,41,41,40,42,42,38,38,39,39,40,39,39,38,39,37,36,36,36,36,35,35,35,35
ac675bd5ecfb4ee6,204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,35,44,44,44,44,44,46,46,46,45,45,46,47,40,42,41,42,41,39,39,37,35,38,41,37,40,42,39,38,39,39
acd9a4ba8cd9ce0,110,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6
acd9a4ba8cd9ce0,111,2,2,2,2,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
af5c329b80b,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
af5c329b80b,102,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2
af5c329b80b,103,4,4,4,4,4,4,4,4,4,4,3,1,2,2,2,2,2,3,3,4,3,2,2,4,4,5,5,5,5,5,5,7,8,7,7,5,4,5,5,5,5,6,6,6,6,6,6,10,10,10,10,10,10,10,10,12,15,15,15,11,13,11,12,11,14,14
af5c329b80b,104,26,27,27,25,25,25,25,26,25,27,26,26,26,27,28,35,33,34,33,34,33,35,34,36,38,41,40,42,39,37,36,35,33,32,32,33,26,26,27,29,30,30,30,31,31,31,31,31,29,29,30,30,30,28,29,30,31,32,32,32,32,33,32,32,32,30
